Sp,Country,Region,Pop,Indiv,Site,Block,Year,MISM,MISM.F1,TotSeeds.F1
Rcr,UK,Cb,RcrUKCbB,RcrUKCbB1,West,W2,2019,1.857,1.086,NA
Rcr,UK,Cw,RcrUKCwC,RcrUKCwC5,West,W1,2019,2.056,0.945,NA
Rcr,UK,Cb,RcrUKCbB,RcrUKCbB3,West,W3,2019,1.783,1.066,NA
Rcr,UK,Cb,RcrUKCbB,RcrUKCbB2,West,W1,2019,2.353,1.280,NA
Rcr,UK,Cb,RcrUKCbB,RcrUKCbB4,West,W1,2019,1.864,0.891,NA
Rcr,UK,Cw,RcrUKCwA,RcrUKCwA9,West,W3,2019,1.179,1.030,20972
Rcr,NZ,C,RcrNZCB,RcrNZCB3,West,W1,2019,2.039,1.085,NA
Rcr,UK,Cw,RcrUKCwD,RcrUKCwD10,West,W3,2019,1.292,1.089,NA
Rcr,NZ,S,RcrNZSC,RcrNZSC9,West,W2,2019,1.716,1.160,13569
Rcr,NZ,C,RcrNZCB,RcrNZCB4,West,W1,2019,2.057,1.061,22754
Rcr,NZ,W,RcrNZWE,RcrNZWE8,West,W2,2019,1.196,1.352,40085
Rcr,UK,Cw,RcrUKCwB,RcrUKCwB7,West,W3,2019,1.500,0.983,NA
Rcr,UK,Cb,RcrUKCbC,RcrUKCbC1,West,W1,2019,1.375,0.861,NA
Rcr,NZ,W,RcrNZWE,RcrNZWE8,West,W1,2019,1.196,0.987,NA
Rcr,NZ,S,RcrNZSB,RcrNZSB1,West,W1,2019,1.975,0.859,NA
Rcr,NZ,C,RcrNZCC,RcrNZCC4,West,W3,2019,1.732,1.010,31437
Rcr,UK,Cb,RcrUKCbC,RcrUKCbC2,West,W1,2019,1.296,0.950,5001
Rcr,UK,Cb,RcrUKCbC,RcrUKCbC3,West,W2,2019,1.654,1.285,28366
Rcr,NZ,C,RcrNZCA,RcrNZCA1,West,W1,2019,1.246,0.959,NA
Rcr,UK,Cw,RcrUKCwC,RcrUKCwC5,West,W3,2019,2.056,1.129,49140
Rcr,UK,Cw,RcrUKCwC,RcrUKCwC6,West,W3,2019,1.652,1.139,9603
Rcr,NZ,S,RcrNZSB,RcrNZSB5,West,W1,2019,1.507,0.912,NA
Rcr,NZ,C,RcrNZCA,RcrNZCA8,West,W1,2019,1.635,0.652,NA
Rcr,UK,Cw,RcrUKCwC,RcrUKCwC8,West,W2,2019,1.708,1.312,72257
Rcr,NZ,S,RcrNZSC,RcrNZSC8,West,W2,2019,2.099,0.926,18473
Rcr,UK,G,RcrUKGA,RcrUKGA3,West,W3,2019,1.704,1.020,NA
Rcr,NZ,S,RcrNZSA,RcrNZSA3,West,W1,2019,1.764,0.949,NA
Rcr,UK,Cw,RcrUKCwD,RcrUKCwD1,West,W1,2019,1.833,1.200,NA
Rcr,NZ,W,RcrNZWC,RcrNZWC9,West,W3,2019,1.207,0.859,NA
Rcr,UK,Cb,RcrUKCbD,RcrUKCbD5,West,W1,2019,1.793,1.116,9653
Rcr,NZ,W,RcrNZWD,RcrNZWD10,West,W3,2019,1.633,1.009,NA
Rcr,UK,Cb,RcrUKCbC,RcrUKCbC2,West,W3,2019,1.296,0.977,17642
Rcr,UK,Cb,RcrUKCbC,RcrUKCbC2,West,W2,2019,1.296,0.914,52820
Rcr,UK,Cw,RcrUKCwD,RcrUKCwD8,West,W3,2019,1.571,1.248,NA
Rcr,UK,G,RcrUKGA,RcrUKGA1,West,W1,2019,1.786,1.139,NA
Rcr,UK,Cw,RcrUKCwA,RcrUKCwA10,West,W3,2019,1.348,1.154,NA
Rcr,NZ,C,RcrNZCC,RcrNZCC8,West,W1,2019,2.000,1.214,25169
Rcr,UK,G,RcrUKGA,RcrUKGA1,West,W3,2019,1.786,0.923,NA
Rcr,UK,Cb,RcrUKCbC,RcrUKCbC5,West,W3,2019,1.429,1.164,19096
Rcr,UK,Cw,RcrUKCwC,RcrUKCwC5,West,W2,2019,2.056,0.943,NA
Rcr,UK,G,RcrUKGB,RcrUKGB5,West,W2,2019,1.803,0.920,NA
Rcr,NZ,S,RcrNZSC,RcrNZSC5,West,W1,2019,1.836,1.259,57753
Rcr,NZ,S,RcrNZSC,RcrNZSC5,West,W2,2019,1.836,0.986,NA
Rcr,UK,Cw,RcrUKCwA,RcrUKCwA8,West,W2,2019,1.391,0.893,NA
Rcr,UK,Cw,RcrUKCwA,RcrUKCwA8,West,W3,2019,1.391,0.600,NA
Rcr,UK,Cw,RcrUKCwA,RcrUKCwA9,West,W2,2019,1.179,0.932,NA
Rcr,NZ,S,RcrNZSC,RcrNZSC8,West,W3,2019,2.099,1.137,59646
Rcr,NZ,S,RcrNZSA,RcrNZSA4,West,W1,2019,2.048,0.876,17500
Rcr,UK,Cb,RcrUKCbA,RcrUKCbA1,West,W3,2019,1.950,1.220,9454
Rcr,UK,G,RcrUKGA,RcrUKGA4,West,W3,2019,1.636,1.135,22457
Rcr,UK,Cw,RcrUKCwB,RcrUKCwB7,West,W2,2019,1.500,0.952,NA
Rcr,UK,Cw,RcrUKCwD,RcrUKCwD3,West,W2,2019,1.737,1.218,64929
Rcr,UK,Cw,RcrUKCwD,RcrUKCwD5,West,W2,2019,1.611,1.383,65042
Rcr,UK,G,RcrUKGD,RcrUKGD4,West,W3,2019,1.873,0.824,NA
Rcr,UK,Cb,RcrUKCbA,RcrUKCbA3,West,W2,2019,1.333,1.080,NA
Rcr,NZ,S,RcrNZSB,RcrNZSB5,West,W3,2019,1.507,1.440,NA
Rcr,UK,G,RcrUKGB,RcrUKGB1,West,W2,2019,1.612,0.844,NA
Rcr,NZ,S,RcrNZSB,RcrNZSB6,West,W2,2019,1.811,1.072,20489
Rcr,NZ,C,RcrNZCC,RcrNZCC6,West,W3,2019,1.408,0.824,8980
Rcr,NZ,C,RcrNZCA,RcrNZCA2,West,W3,2019,1.581,0.851,NA
Rcr,UK,G,RcrUKGB,RcrUKGB5,West,W1,2019,1.803,1.023,10111
Rcr,NZ,S,RcrNZSC,RcrNZSC6,West,W3,2019,1.655,0.984,33830
Rcr,UK,G,RcrUKGC,RcrUKGC4,West,W1,2019,1.892,1.630,24455
Rcr,UK,Cw,RcrUKCwD,RcrUKCwD1,West,W2,2019,1.833,1.162,NA
Rcr,NZ,S,RcrNZSC,RcrNZSC9,West,W1,2019,1.716,0.968,NA
Rcr,NZ,C,RcrNZCB,RcrNZCB9,West,W1,2019,1.536,1.587,NA
Rcr,UK,Cw,RcrUKCwD,RcrUKCwD3,West,W3,2019,1.737,1.635,16270
Rcr,UK,Cb,RcrUKCbD,RcrUKCbD5,West,W3,2019,1.793,1.307,NA
Rcr,UK,Cb,RcrUKCbA,RcrUKCbA2,West,W1,2019,1.435,1.040,NA
Rcr,UK,Cw,RcrUKCwB,RcrUKCwB8,West,W3,2019,1.464,1.286,56413
Rcr,NZ,C,RcrNZCC,RcrNZCC6,West,W1,2019,1.408,0.878,28010
Rcr,UK,Cb,RcrUKCbC,RcrUKCbC4,West,W3,2019,0.714,1.089,10010
Rcr,NZ,S,RcrNZSC,RcrNZSC5,West,W3,2019,1.836,1.018,21739
Rcr,UK,Cw,RcrUKCwA,RcrUKCwA9,West,W1,2019,1.179,0.892,25930
Rcr,UK,Cb,RcrUKCbD,RcrUKCbD3,West,W3,2019,1.619,1.156,32151
Rcr,UK,Cb,RcrUKCbD,RcrUKCbD4,West,W2,2019,1.600,1.180,12478
Rcr,UK,Cb,RcrUKCbD,RcrUKCbD4,West,W1,2019,1.600,1.310,NA
Rcr,UK,Cw,RcrUKCwD,RcrUKCwD10,West,W2,2019,1.292,1.212,NA
Rcr,UK,Cb,RcrUKCbD,RcrUKCbD5,West,W2,2019,1.793,1.434,73789
Rcr,UK,Cb,RcrUKCbA,RcrUKCbA3,West,W1,2019,1.333,0.972,NA
Rcr,UK,G,RcrUKGB,RcrUKGB1,West,W1,2019,1.612,1.021,9248
Rcr,UK,G,RcrUKGB,RcrUKGB3,West,W2,2019,1.727,1.103,NA
Rcr,UK,Cb,RcrUKCbC,RcrUKCbC5,West,W1,2019,1.429,1.014,15854
Rcr,UK,Cb,RcrUKCbB,RcrUKCbB2,West,W2,2019,2.353,1.166,NA
Rcr,UK,G,RcrUKGA,RcrUKGA2,West,W1,2019,1.667,1.173,NA
Rcr,NZ,S,RcrNZSC,RcrNZSC7,West,W3,2019,1.426,0.900,7477
Rcr,UK,G,RcrUKGC,RcrUKGC2,West,W3,2019,1.996,1.355,NA
Rcr,UK,Cw,RcrUKCwB,RcrUKCwB5,West,W1,2019,1.684,1.112,NA
Rcr,UK,Cw,RcrUKCwB,RcrUKCwB6,West,W2,2019,1.682,2.031,NA
Rcr,UK,G,RcrUKGA,RcrUKGA4,West,W1,2019,1.636,1.094,NA
Rcr,UK,Cb,RcrUKCbC,RcrUKCbC1,West,W2,2019,1.375,0.999,5047
Rcr,UK,Cw,RcrUKCwB,RcrUKCwB8,West,W2,2019,1.464,1.187,27011
Rcr,NZ,W,RcrNZWD,RcrNZWD4,West,W3,2019,2.088,1.533,41717
Rcr,UK,G,RcrUKGD,RcrUKGD4,West,W2,2019,1.873,0.812,NA
Rcr,UK,Cw,RcrUKCwC,RcrUKCwC10,West,W2,2019,1.900,0.959,87232
Rcr,UK,G,RcrUKGB,RcrUKGB3,West,W1,2019,1.727,1.067,8699
Rcr,UK,Cw,RcrUKCwA,RcrUKCwA2,West,W3,2019,1.320,0.879,NA
Rcr,UK,Cb,RcrUKCbC,RcrUKCbC5,West,W2,2019,1.429,0.969,NA
Rcr,UK,G,RcrUKGB,RcrUKGB5,West,W3,2019,1.803,0.885,NA
Rcr,UK,Cb,RcrUKCbD,RcrUKCbD2,West,W2,2019,1.370,0.951,64799
Rcr,NZ,W,RcrNZWC,RcrNZWC4,West,W1,2019,1.484,0.924,11661
Rcr,UK,Cb,RcrUKCbD,RcrUKCbD3,West,W2,2019,1.619,1.494,64477
Rcr,UK,G,RcrUKGC,RcrUKGC3,West,W1,2019,1.490,1.324,6809
Rcr,UK,G,RcrUKGC,RcrUKGC5,West,W2,2019,1.838,1.228,NA
Rcr,NZ,W,RcrNZWD,RcrNZWD1,West,W1,2019,1.827,0.994,NA
Rcr,UK,G,RcrUKGA,RcrUKGA5,West,W2,2019,1.658,1.274,41210
Rcr,UK,G,RcrUKGA,RcrUKGA5,West,W1,2019,1.658,1.142,NA
Rcr,NZ,S,RcrNZSB,RcrNZSB5,West,W2,2019,1.507,1.172,28756
Rcr,NZ,W,RcrNZWD,RcrNZWD9,West,W1,2019,1.537,0.902,NA
Rcr,NZ,W,RcrNZWA,RcrNZWA6,West,W1,2019,1.337,0.813,NA
Rcr,UK,Cb,RcrUKCbC,RcrUKCbC3,West,W3,2019,1.654,1.126,NA
Rcr,NZ,S,RcrNZSC,RcrNZSC6,West,W2,2019,1.655,1.033,38766
Rcr,NZ,W,RcrNZWC,RcrNZWC3,West,W1,2019,1.143,0.957,72249
Rcr,UK,G,RcrUKGC,RcrUKGC2,West,W2,2019,1.996,1.848,1146
Rcr,UK,Cb,RcrUKCbD,RcrUKCbD3,West,W1,2019,1.619,1.426,NA
Rcr,UK,Cw,RcrUKCwD,RcrUKCwD10,West,W1,2019,1.292,1.205,NA
Rcr,NZ,W,RcrNZWD,RcrNZWD10,West,W1,2019,1.633,0.979,NA
Rcr,UK,G,RcrUKGC,RcrUKGC4,West,W3,2019,1.892,1.545,31440
Rcr,UK,G,RcrUKGB,RcrUKGB2,West,W3,2019,1.220,0.844,NA
Rcr,UK,Cw,RcrUKCwA,RcrUKCwA2,West,W1,2019,1.320,1.071,NA
Rcr,UK,G,RcrUKGA,RcrUKGA1,West,W2,2019,1.786,1.118,17748
Rcr,NZ,S,RcrNZSC,RcrNZSC9,West,W3,2019,1.716,1.082,65844
Rcr,UK,Cw,RcrUKCwA,RcrUKCwA5,West,W2,2019,1.375,0.901,NA
Rcr,UK,G,RcrUKGA,RcrUKGA5,West,W3,2019,1.658,1.264,33462
Rcr,UK,G,RcrUKGC,RcrUKGC2,West,W1,2019,1.996,1.525,13103
Rcr,UK,G,RcrUKGB,RcrUKGB2,West,W1,2019,1.220,1.012,33553
Rcr,NZ,S,RcrNZSD,RcrNZSD4,West,W2,2019,1.248,0.989,97647
Rcr,UK,Cw,RcrUKCwA,RcrUKCwA10,West,W2,2019,1.348,1.165,44235
Rcr,UK,G,RcrUKGB,RcrUKGB4,West,W3,2019,1.552,0.919,NA
Rcr,NZ,W,RcrNZWE,RcrNZWE3,West,W2,2019,1.053,0.903,22042
Rcr,NZ,W,RcrNZWC,RcrNZWC9,West,W1,2019,1.207,0.884,NA
Rcr,UK,G,RcrUKGB,RcrUKGB4,West,W1,2019,1.552,1.133,17317
Rcr,UK,G,RcrUKGB,RcrUKGB4,West,W2,2019,1.552,1.289,NA
Rcr,UK,Cw,RcrUKCwD,RcrUKCwD3,West,W1,2019,1.737,1.088,NA
Rcr,UK,Cw,RcrUKCwC,RcrUKCwC10,West,W1,2019,1.900,1.002,23859
Rcr,NZ,W,RcrNZWE,RcrNZWE1,West,W1,2019,1.317,1.192,34731
Rcr,UK,Cw,RcrUKCwA,RcrUKCwA2,West,W2,2019,1.320,0.851,NA
Rcr,NZ,W,RcrNZWE,RcrNZWE2,West,W2,2019,1.413,1.182,45678
Rcr,UK,Cw,RcrUKCwA,RcrUKCwA10,West,W1,2019,1.348,0.842,NA
Ro,NZ,W,RoNZWC,RoNZWC2,LU,L3,2018,2.314,0.873,NA
Ro,UK,Cw,RoUKCwC,RoUKCwC6,LU,L3,2019,1.955,1.675,NA
Ro,NZ,W,RoNZWA,RoNZWA4,LU,L2,2018,1.828,1.395,NA
Ro,NZ,S,RoNZSA,RoNZSA6,LU,L1,2018,2.379,1.151,NA
Ro,NZ,C,RoNZCA,RoNZCA9,LU,L2,2019,0.830,0.828,1513
Ro,NZ,S,RoNZSD,RoNZSD6,LU,L3,2019,1.312,0.672,12645
Ro,UK,Cw,RoUKCwB,RoUKCwB3,LU,L3,2018,1.423,0.790,NA
Ro,NZ,C,RoNZCC,RoNZCC3,LU,L2,2018,2.259,0.983,NA
Ro,UK,Cw,RoUKCwD,RoUKCwD5,LU,L1,2019,1.138,1.259,NA
Ro,NZ,C,RoNZCC,RoNZCC3,LU,L2,2019,2.259,0.976,3477
Ro,UK,Cw,RoUKCwA,RoUKCwA1,LU,L2,2018,1.526,1.178,NA
Ro,NZ,C,RoNZCA,RoNZCA7,LU,L1,2018,0.752,1.255,NA
Ro,UK,Cw,RoUKCwA,RoUKCwA4,LU,L3,2018,0.920,0.959,NA
Ro,NZ,C,RoNZCD,RoNZCD3,LU,L2,2019,0.463,0.823,NA
Ro,UK,Cw,RoUKCwB,RoUKCwB4,LU,L2,2019,1.652,2.483,36950
Ro,NZ,S,RoNZSD,RoNZSD1,LU,L1,2019,2.268,1.545,NA
Ro,NZ,C,RoNZCD,RoNZCD10,LU,L2,2018,0.633,1.185,NA
Ro,UK,Cw,RoUKCwC,RoUKCwC2,LU,L3,2019,2.150,1.335,NA
Ro,UK,Cw,RoUKCwC,RoUKCwC5,LU,L1,2019,2.045,1.598,NA
Ro,UK,Cw,RoUKCwA,RoUKCwA4,LU,L3,2019,0.920,1.176,2570
Ro,UK,Cw,RoUKCwC,RoUKCwC6,LU,L1,2018,1.955,1.256,NA
Ro,NZ,C,RoNZCD,RoNZCD9,LU,L3,2018,0.633,1.543,NA
Ro,UK,Cw,RoUKCwB,RoUKCwB10,LU,L1,2018,1.952,1.195,NA
Ro,UK,Cw,RoUKCwC,RoUKCwC6,LU,L1,2019,1.955,1.717,NA
Ro,NZ,S,RoNZSD,RoNZSD6,LU,L3,2018,1.312,0.979,NA
Ro,NZ,W,RoNZWC,RoNZWC2,LU,L2,2018,2.314,0.901,NA
Ro,NZ,C,RoNZCD,RoNZCD3,LU,L2,2018,0.463,1.098,NA
Ro,NZ,C,RoNZCB,RoNZCB4,LU,L2,2018,1.906,0.985,NA
Ro,UK,Cb,RoUKCbD,RoUKCbD5,LU,L1,2018,2.350,1.083,NA
Ro,UK,Cw,RoUKCwB,RoUKCwB4,LU,L3,2018,1.652,1.101,NA
Ro,UK,G,RoUKGB,RoUKGB4,LU,L1,2019,1.300,1.717,24195
Ro,NZ,W,RoNZWA,RoNZWA5,LU,L1,2018,2.008,1.450,NA
Ro,NZ,C,RoNZCA,RoNZCA7,LU,L2,2018,0.752,0.635,NA
Ro,UK,G,RoUKGB,RoUKGB5,LU,L1,2019,1.281,0.818,NA
Ro,UK,Cw,RoUKCwD,RoUKCwD3,LU,L1,2018,1.522,1.207,NA
Ro,UK,G,RoUKGA,RoUKGA3,LU,L1,2018,1.795,0.854,NA
Ro,UK,Cw,RoUKCwA,RoUKCwA2,LU,L1,2018,0.931,0.673,NA
Ro,UK,Cw,RoUKCwD,RoUKCwD4,LU,L2,2019,1.231,1.695,1901
Ro,NZ,W,RoNZWB,RoNZWB3,LU,L2,2019,1.815,1.091,5490
Ro,UK,Cw,RoUKCwC,RoUKCwC1,LU,L3,2019,2.190,1.050,NA
Ro,NZ,S,RoNZSD,RoNZSD1,LU,L1,2018,2.268,1.634,NA
Ro,UK,G,RoUKGC,RoUKGC2,LU,L2,2018,1.444,1.058,NA
Ro,NZ,S,RoNZSB,RoNZSB1,LU,L1,2019,1.309,1.408,705
Ro,UK,G,RoUKGC,RoUKGC2,LU,L1,2018,1.444,0.986,NA
Ro,NZ,C,RoNZCC,RoNZCC5,LU,L1,2019,2.186,1.161,2190
Ro,UK,G,RoUKGB,RoUKGB3,LU,L1,2019,1.385,1.504,28230
Ro,UK,Cw,RoUKCwB,RoUKCwB10,LU,L1,2019,1.952,0.568,535
Ro,NZ,S,RoNZSB,RoNZSB5,LU,L1,2018,1.262,0.970,NA
Ro,UK,Cw,RoUKCwB,RoUKCwB10,LU,L2,2018,1.952,1.526,NA
Ro,NZ,S,RoNZSD,RoNZSD5,LU,L1,2018,1.077,0.857,NA
Ro,UK,Cb,RoUKCbD,RoUKCbD3,LU,L1,2019,2.143,1.971,NA
Ro,UK,Cb,RoUKCbD,RoUKCbD3,LU,L2,2018,2.143,0.730,NA
Ro,UK,G,RoUKGD,RoUKGD3,LU,L1,2018,1.667,1.046,NA
Ro,NZ,W,RoNZWC,RoNZWC2,LU,L3,2019,2.314,0.844,7777
Ro,UK,G,RoUKGB,RoUKGB4,LU,L3,2018,1.300,1.026,NA
Ro,NZ,C,RoNZCA,RoNZCA5,LU,L2,2018,0.590,0.998,NA
Ro,NZ,C,RoNZCA,RoNZCA5,LU,L1,2018,0.590,1.591,NA
Ro,NZ,W,RoNZWC,RoNZWC2,LU,L2,2019,2.314,1.066,8320
Ro,NZ,S,RoNZSA,RoNZSA6,LU,L1,2019,2.379,0.928,2017
Ro,NZ,W,RoNZWC,RoNZWC4,LU,L2,2018,1.717,1.003,NA
Ro,NZ,C,RoNZCA,RoNZCA7,LU,L1,2019,0.752,0.940,10939
Ro,NZ,C,RoNZCA,RoNZCA7,LU,L2,2019,0.752,0.587,1833
Ro,NZ,S,RoNZSA,RoNZSA8,LU,L2,2019,1.558,1.543,15024
Ro,UK,Cw,RoUKCwD,RoUKCwD4,LU,L3,2019,1.231,0.552,3527
Ro,NZ,S,RoNZSA,RoNZSA9,LU,L1,2018,0.888,1.203,NA
Ro,NZ,S,RoNZSA,RoNZSA9,LU,L2,2019,0.888,0.783,3629
Ro,NZ,W,RoNZWB,RoNZWB3,LU,L2,2018,1.815,0.928,NA
Ro,NZ,C,RoNZCA,RoNZCA9,LU,L2,2018,0.830,1.157,NA
Ro,NZ,S,RoNZSA,RoNZSA9,LU,L2,2018,0.888,0.608,NA
Ro,NZ,W,RoNZWD,RoNZWD1,LU,L3,2019,1.733,1.232,18821
Ro,NZ,S,RoNZSD,RoNZSD4,LU,L1,2018,0.719,1.373,NA
Ro,NZ,S,RoNZSD,RoNZSD5,LU,L1,2019,1.077,1.518,18995
Ro,NZ,S,RoNZSB,RoNZSB5,LU,L2,2018,1.262,0.974,NA
Ro,NZ,W,RoNZWD,RoNZWD5,LU,L3,2018,1.763,0.930,NA
Ro,NZ,S,RoNZSB,RoNZSB5,LU,L1,2019,1.262,0.645,NA
Ro,UK,Cw,RoUKCwB,RoUKCwB10,LU,L2,2019,1.952,0.784,183
Ro,NZ,W,RoNZWD,RoNZWD5,LU,L3,2019,1.763,0.817,1761
Ro,NZ,S,RoNZSB,RoNZSB5,LU,L3,2018,1.262,1.033,NA
Ro,NZ,W,RoNZWD,RoNZWD7,LU,L2,2019,2.159,0.899,9539
Ro,UK,G,RoUKGD,RoUKGD3,LU,L1,2019,1.667,0.758,574
Ro,NZ,S,RoNZSA,RoNZSA5,LU,L2,2018,1.600,0.993,NA
Ro,UK,G,RoUKGA,RoUKGA4,LU,L1,2019,2.281,2.249,52486
Ro,UK,G,RoUKGA,RoUKGA5,LU,L3,2018,1.500,0.498,NA
Ro,UK,G,RoUKGA,RoUKGA5,LU,L1,2018,1.500,1.298,NA
Ro,UK,G,RoUKGA,RoUKGA5,LU,L1,2019,1.500,0.496,1945
Ro,NZ,C,RoNZCC,RoNZCC3,LU,L1,2018,2.259,0.756,NA
Ro,NZ,W,RoNZWC,RoNZWC4,LU,L2,2019,1.717,0.654,2401
Ro,NZ,C,RoNZCC,RoNZCC5,LU,L1,2018,2.186,1.128,NA
Ro,UK,G,RoUKGB,RoUKGB1,LU,L2,2018,1.813,1.294,NA
Ro,UK,G,RoUKGB,RoUKGB1,LU,L2,2019,1.813,0.583,624
Ro,UK,Cw,RoUKCwB,RoUKCwB9,LU,L1,2019,2.000,2.442,19932
Ro,UK,Cb,RoUKCbB,RoUKCbB2,LU,L3,2019,1.111,1.267,14872
Ro,UK,G,RoUKGB,RoUKGB2,LU,L1,2019,2.346,1.448,74744
Ro,UK,G,RoUKGB,RoUKGB2,LU,L2,2019,2.346,1.867,NA
Ro,UK,Cb,RoUKCbB,RoUKCbB2,LU,L1,2019,1.111,1.435,NA
Ro,NZ,C,RoNZCD,RoNZCD2,LU,L2,2018,0.500,1.325,NA
Ro,UK,G,RoUKGB,RoUKGB3,LU,L1,2018,1.385,0.998,NA
Ro,UK,Cb,RoUKCbB,RoUKCbB3,LU,L2,2018,1.188,0.950,NA
Ro,NZ,S,RoNZSB,RoNZSB4,LU,L1,2018,1.500,0.839,NA
Ro,UK,Cb,RoUKCbB,RoUKCbB3,LU,L1,2018,1.188,1.085,NA
Ro,UK,Cb,RoUKCbB,RoUKCbB3,LU,L1,2019,1.188,0.692,3073
Ro,UK,Cb,RoUKCbB,RoUKCbB4,LU,L1,2018,1.923,0.688,NA
Ro,UK,Cb,RoUKCbB,RoUKCbB4,LU,L1,2019,1.923,0.940,2857
Ro,UK,G,RoUKGB,RoUKGB3,LU,L2,2018,1.385,0.627,NA
Ro,NZ,S,RoNZSD,RoNZSD6,LU,L2,2018,1.312,0.959,NA
Ro,UK,Cb,RoUKCbB,RoUKCbB4,LU,L2,2018,1.923,1.061,NA
Ro,UK,Cb,RoUKCbB,RoUKCbB5,LU,L1,2018,1.417,1.221,NA
Ro,NZ,W,RoNZWD,RoNZWD7,LU,L1,2019,2.159,1.309,6551
Ro,UK,G,RoUKGB,RoUKGB4,LU,L2,2018,1.300,1.103,NA
Ro,UK,Cw,RoUKCwD,RoUKCwD1,LU,L3,2018,1.409,1.109,NA
Ro,UK,Cb,RoUKCbC,RoUKCbC1,LU,L2,2018,1.850,0.982,NA
Ro,UK,G,RoUKGB,RoUKGB5,LU,L1,2018,1.281,1.138,NA
Ro,UK,Cb,RoUKCbC,RoUKCbC1,LU,L3,2018,1.850,1.060,NA
Ro,UK,G,RoUKGB,RoUKGB5,LU,L3,2019,1.281,1.010,2995
Ro,UK,Cb,RoUKCbC,RoUKCbC2,LU,L1,2018,2.583,0.743,NA
Ro,UK,Cb,RoUKCbC,RoUKCbC3,LU,L2,2019,1.917,2.527,4498
Ro,UK,Cw,RoUKCwD,RoUKCwD3,LU,L1,2019,1.522,0.427,NA
Ro,UK,Cb,RoUKCbC,RoUKCbC3,LU,L3,2019,1.917,1.318,NA
Ro,UK,Cb,RoUKCbC,RoUKCbC4,LU,L2,2018,2.136,1.341,NA
Ro,UK,Cb,RoUKCbC,RoUKCbC4,LU,L2,2019,2.136,1.551,10365
Ro,UK,G,RoUKGB,RoUKGB1,LU,L1,2018,1.813,1.452,NA
Ro,UK,Cw,RoUKCwD,RoUKCwD5,LU,L1,2018,1.138,1.412,NA
